Date,Open,High,Low,Close,Volume,Adjusted,Symbol
2017-01-03,69.309998,69.860001,69.220001,69.839996,11792900,65.337029,XLV
2017-01-04,69.949997,70.580002,69.949997,70.389999,9174500,65.851578,XLV
2017-01-05,70.330002,70.769997,70.269997,70.75,5979300,66.188362,XLV
2017-01-06,70.769997,71.150002,70.519997,70.949997,5769300,66.375458,XLV
2017-01-09,70.949997,71.370003,70.82,71.25,5751900,66.656128,XLV
2017-01-10,71.370003,71.910004,71.209999,71.5,10320500,66.889984,XLV
2017-01-11,71.589996,71.839996,70.050003,70.779999,23742000,66.216431,XLV
2017-01-12,70.43,70.889999,70.260002,70.849998,9358900,66.281914,XLV
2017-01-13,70.910004,71.160004,70.75,70.919998,5279000,66.347404,XLV
2017-01-17,70.480003,70.68,69.980003,70.559998,6038200,66.010628,XLV
2017-01-18,70.699997,70.860001,70.330002,70.470001,6174200,65.926414,XLV
2017-01-19,70.449997,70.610001,69.910004,70.019997,6470700,65.505417,XLV
2017-01-20,70.019997,70.370003,69.779999,69.839996,7006900,65.337029,XLV
2017-01-23,69.75,69.940002,69.290001,69.550003,10003700,65.06572,XLV
2017-01-24,69.480003,69.529999,68.75,69.07,8703500,64.616684,XLV
2017-01-25,69.129997,69.75,69.089996,69.720001,6553800,65.224777,XLV
2017-01-26,69.57,69.690002,69.169998,69.18,6612500,64.719582,XLV
2017-01-27,69.339996,69.800003,69.32,69.75,7264900,65.252831,XLV
2017-01-30,69.580002,69.720001,69.120003,69.410004,7281900,64.934769,XLV
2017-01-31,69.040001,70.519997,68.989998,70.519997,14342500,65.973183,XLV
2017-02-01,70.519997,71.129997,70.379997,71.129997,19490500,66.543846,XLV
2017-02-02,70.779999,71.150002,70.559998,71.110001,14539400,66.525146,XLV
2017-02-03,71.339996,71.489998,71,71.419998,15104800,66.815163,XLV
2017-02-06,71.290001,71.5,71.150002,71.5,11561600,66.889984,XLV
2017-02-07,71.550003,71.830002,71.330002,71.57,11278000,66.95549,XLV
2017-02-08,71.190002,71.540001,70.989998,71.459999,6812900,66.852585,XLV
2017-02-09,71.449997,71.93,71.389999,71.720001,7869200,67.095825,XLV
2017-02-10,71.830002,72.019997,71.660004,71.860001,4440300,67.226791,XLV
2017-02-13,71.93,72.339996,71.93,72.300003,6465200,67.63842,XLV
2017-02-14,72.220001,72.870003,72.169998,72.870003,10403000,68.171677,XLV
2017-02-15,72.709999,73.800003,72.639999,73.660004,10091700,68.910736,XLV
2017-02-16,73.68,73.75,73.059998,73.559998,11332600,68.817192,XLV
2017-02-17,73.279999,73.699997,73.279999,73.660004,12118400,68.910736,XLV
2017-02-21,73.650002,74.230003,73.650002,73.989998,10651800,69.21946,XLV
2017-02-22,73.900002,74.139999,73.82,73.879997,6634300,69.116547,XLV
2017-02-23,73.959999,74.550003,73.870003,74.419998,8685600,69.621727,XLV
2017-02-24,74.300003,74.82,74.269997,74.779999,9103000,69.958527,XLV
2017-02-27,74.830002,75.18,74.669998,75.139999,8178200,70.295319,XLV
2017-02-28,74.93,75.230003,74.769997,74.989998,10258600,70.154991,XLV
2017-03-01,75.440002,75.93,75.220001,75.739998,15196600,70.856613,XLV
2017-03-02,75.620003,75.889999,75.489998,75.5,7889300,70.632103,XLV
2017-03-03,75.389999,75.860001,75.360001,75.800003,6635300,70.912766,XLV
2017-03-06,75.690002,75.75,75.239998,75.510002,5886900,70.641464,XLV
2017-03-07,74.889999,75.360001,74.739998,74.980003,12330600,70.14563,XLV
2017-03-08,74.970001,75.540001,74.919998,75.279999,8130000,70.426308,XLV
2017-03-09,75.269997,75.790001,75.220001,75.690002,8451400,70.80986,XLV
2017-03-10,76.010002,76.089996,75.699997,75.980003,10455800,71.081154,XLV
2017-03-13,76.050003,76.050003,75.620003,75.919998,6898500,71.025017,XLV
2017-03-14,75.709999,75.959999,75.559998,75.639999,7296300,70.763077,XLV
2017-03-15,75.75,76.75,75.75,76.589996,11044900,71.651825,XLV
2017-03-16,76.400002,76.400002,75.559998,75.849998,12129400,70.959526,XLV
2017-03-17,75.389999,75.529999,75.120003,75.160004,10401000,70.568947,XLV
2017-03-20,75.18,75.290001,74.900002,75.050003,4728300,70.465668,XLV
2017-03-21,75.129997,75.389999,72.330002,74.459999,16650400,69.911713,XLV
2017-03-22,74.57,74.669998,74.110001,74.480003,9954300,69.930481,XLV
2017-03-23,74.389999,74.769997,74.110001,74.25,13250500,69.714531,XLV
2017-03-24,74.290001,74.620003,73.980003,74.290001,9229500,69.752083,XLV
2017-03-27,73.760002,74.620003,73.620003,74.489998,6946300,69.939873,XLV
2017-03-28,74.339996,74.639999,74.110001,74.540001,7392300,69.986824,XLV
2017-03-29,74.57,74.739998,74.389999,74.559998,4357800,70.005592,XLV
2017-03-30,74.470001,74.720001,74.269997,74.57,7137400,70.014984,XLV
2017-03-31,74.389999,74.559998,74.279999,74.360001,5895400,69.817818,XLV
2017-04-03,74.440002,74.790001,74.129997,74.419998,12354800,69.874153,XLV
2017-04-04,74.400002,74.480003,74.169998,74.379997,5228600,69.836601,XLV
2017-04-05,74.480003,74.919998,74.099998,74.150002,6470100,69.620651,XLV
2017-04-06,74.169998,74.419998,73.949997,74.279999,5253300,69.742699,XLV
2017-04-07,74.330002,74.599998,74.129997,74.410004,5638200,69.864769,XLV
2017-04-10,74.389999,74.639999,74.199997,74.269997,4530000,69.733292,XLV
2017-04-11,74.150002,74.339996,73.760002,74.169998,5472600,69.639404,XLV
2017-04-12,74.089996,74.290001,73.870003,74.169998,3782200,69.639404,XLV
2017-04-13,74.080002,74.330002,73.980003,73.980003,6671100,69.461029,XLV
2017-04-17,73.889999,74.269997,73.830002,74.25,6149900,69.714531,XLV
2017-04-18,73.839996,73.839996,73.160004,73.440002,7519500,68.95401,XLV
2017-04-19,73.68,73.870003,73.529999,73.660004,5023100,69.160583,XLV
2017-04-20,73.809998,74.269997,73.470001,74.120003,7307300,69.592484,XLV
2017-04-21,73.989998,74.059998,73.510002,73.68,6763000,69.179359,XLV
2017-04-24,74.389999,74.589996,74.309998,74.410004,5450000,69.864769,XLV
2017-04-25,74.709999,74.940002,74.5,74.730003,9035700,70.165222,XLV
2017-04-26,75,75.440002,74.940002,75.139999,6240400,70.550179,XLV
2017-04-27,75.160004,75.650002,75.010002,75.300003,6962800,70.700394,XLV
2017-04-28,75.360001,75.540001,75.239998,75.5,5781100,70.888168,XLV
2017-05-01,75.629997,75.82,75.5,75.669998,7182000,71.047791,XLV
2017-05-02,75.739998,75.900002,75.300003,75.879997,5243800,71.244965,XLV
2017-05-03,75.650002,75.709999,75.339996,75.510002,8094100,70.897568,XLV
2017-05-04,75.769997,76.010002,75.660004,76.010002,4275400,71.367035,XLV
2017-05-05,76.18,76.199997,75.660004,75.970001,5720100,71.32946,XLV
2017-05-08,75.910004,75.970001,75.389999,75.5,6558500,70.888168,XLV
2017-05-09,75.540001,75.730003,75.449997,75.589996,3830200,70.972672,XLV
2017-05-10,75.470001,75.480003,75.059998,75.370003,4314900,70.766121,XLV
2017-05-11,75.25,75.440002,75.029999,75.410004,6791600,70.803696,XLV
2017-05-12,75.379997,75.489998,75.230003,75.279999,2638000,70.681625,XLV
2017-05-15,75.32,75.809998,75.25,75.769997,7320800,71.141678,XLV
2017-05-16,75.690002,75.760002,75.269997,75.480003,5471700,70.869415,XLV
2017-05-17,74.870003,75.080002,74.489998,74.489998,11434000,69.939873,XLV
2017-05-18,74.449997,75.25,74.449997,74.82,10690500,70.249718,XLV
2017-05-19,74.949997,75.269997,74.849998,75.029999,9209800,70.446869,XLV
2017-05-22,74.959999,75.32,74.800003,75.230003,4999100,70.634666,XLV
2017-05-23,75.330002,75.639999,75.269997,75.480003,4216100,70.869415,XLV
2017-05-24,75.519997,75.730003,75.339996,75.669998,5186400,71.047791,XLV
2017-05-25,75.839996,76.18,75.660004,76.029999,4479400,71.385803,XLV
2017-05-26,75.970001,76.190002,75.809998,75.889999,4507400,71.254364,XLV
2017-05-30,75.650002,75.970001,75.650002,75.779999,4651200,71.151077,XLV
2017-05-31,75.93,76.25,75.860001,76.080002,5884400,71.432762,XLV
2017-06-01,76.209999,76.980003,76.129997,76.919998,9149900,72.221451,XLV
2017-06-02,77.139999,77.519997,77.07,77.419998,4833000,72.690903,XLV
2017-06-05,77.419998,77.5,77.019997,77.199997,5558900,72.484329,XLV
2017-06-06,77.050003,77.290001,76.879997,77.010002,4316500,72.305946,XLV
2017-06-07,77.110001,77.300003,76.970001,77.220001,4415700,72.50312,XLV
2017-06-08,77.169998,77.360001,76.800003,77,6304400,72.296562,XLV
2017-06-09,77.099998,77.760002,77,77.519997,13419000,72.784775,XLV
2017-06-12,77.459999,77.739998,77.050003,77.419998,7700600,72.690903,XLV
2017-06-13,77.489998,77.68,77.309998,77.580002,5592500,72.841148,XLV
2017-06-14,77.709999,78.169998,77.68,77.949997,6782300,73.188522,XLV
2017-06-15,77.650002,77.93,77.440002,77.870003,8186000,73.113419,XLV
2017-06-16,77.660004,77.849998,77.279999,77.690002,14165200,73.23407,XLV
2017-06-19,77.800003,78.57,77.760002,78.5,8294400,73.997612,XLV
2017-06-20,78.489998,79.190002,78.459999,78.760002,7697200,74.242714,XLV
2017-06-21,78.919998,79.790001,78.870003,79.760002,9481200,75.185356,XLV
2017-06-22,79.889999,81.080002,79.860001,80.589996,12341100,75.967743,XLV
2017-06-23,80.489998,80.639999,80.169998,80.470001,8779600,75.854637,XLV
2017-06-26,80.699997,80.699997,80.269997,80.389999,7434400,75.779213,XLV
2017-06-27,80.389999,80.489998,79.639999,79.660004,8428000,75.09108,XLV
2017-06-28,79.919998,80.279999,79.879997,80.080002,8674200,75.487,XLV
2017-06-29,79.989998,80.059998,78.860001,79.349998,8445800,74.798843,XLV
2017-06-30,79.660004,79.660004,79.239998,79.239998,7817400,74.695175,XLV
2017-07-03,79.510002,79.75,79.370003,79.379997,5904200,74.827133,XLV
2017-07-05,79.489998,79.949997,79.209999,79.849998,8955500,75.27018,XLV
2017-07-06,79.510002,79.660004,78.709999,78.82,6367700,74.299255,XLV
2017-07-07,79.099998,79.309998,78.900002,79.220001,4371400,74.676315,XLV
2017-07-10,79.25,79.279999,78.870003,79.07,3580000,74.53492,XLV
2017-07-11,79.019997,79.190002,78.580002,78.980003,4117500,74.450081,XLV
2017-07-12,79.370003,79.779999,79.349998,79.519997,8808200,74.959106,XLV
2017-07-13,79.589996,79.839996,79.050003,79.589996,9437700,75.025093,XLV
2017-07-14,79.760002,80.300003,79.599998,80.129997,5750000,75.534119,XLV
2017-07-17,80.230003,80.290001,79.82,79.839996,5743700,75.260757,XLV
2017-07-18,79.739998,79.980003,79.360001,79.900002,8042700,75.317299,XLV
2017-07-19,80.239998,80.550003,80.239998,80.550003,8177900,75.930046,XLV
2017-07-20,80.739998,81.209999,80.610001,81.080002,8276800,76.429634,XLV
2017-07-21,80.910004,81.110001,80.849998,80.989998,4043600,76.344788,XLV
2017-07-24,80.919998,81.040001,80.610001,80.959999,4476800,76.316521,XLV
2017-07-25,81.150002,81.209999,80.260002,80.379997,8486000,75.769783,XLV
2017-07-26,80.199997,80.279999,79.889999,80.110001,4964100,75.515259,XLV
2017-07-27,80.190002,80.190002,79.230003,79.559998,12536800,74.996826,XLV
2017-07-28,79.589996,80.059998,79.25,79.959999,6426100,75.373863,XLV
2017-07-31,80.059998,80.220001,79.879997,79.889999,5516800,75.307892,XLV
2017-08-01,80.18,80.18,79.610001,79.709999,8678800,75.138206,XLV
2017-08-02,79.699997,79.699997,79.25,79.529999,7718500,74.968529,XLV
2017-08-03,79.57,79.82,79.309998,79.660004,8003600,75.09108,XLV
2017-08-04,80.029999,80.029999,79.379997,79.480003,3930100,74.921402,XLV
2017-08-07,79.400002,79.660004,79.330002,79.650002,4583300,75.081665,XLV
2017-08-08,79.550003,79.690002,79.120003,79.279999,4423300,74.73288,XLV
2017-08-09,79.089996,79.449997,78.949997,79.370003,4886500,74.817719,XLV
2017-08-10,79.129997,79.199997,78.370003,78.379997,7054700,73.884483,XLV
2017-08-11,78.419998,78.989998,78.419998,78.599998,8318600,74.091888,XLV
2017-08-14,78.940002,79.260002,78.940002,79.129997,3955800,74.591476,XLV
2017-08-15,79.230003,79.389999,79.110001,79.129997,4653800,74.591476,XLV
2017-08-16,79.260002,79.5,79.169998,79.349998,3756900,74.798843,XLV
2017-08-17,79.099998,79.440002,78.330002,78.360001,7133400,73.865654,XLV
2017-08-18,78.07,78.529999,77.949997,78,8434600,73.526283,XLV
2017-08-21,77.93,78.449997,77.82,78.349998,10269000,73.856209,XLV
2017-08-22,78.370003,79.389999,78.32,79.300003,5455500,74.751732,XLV
2017-08-23,79.029999,79.050003,78.669998,78.699997,5662500,74.186134,XLV
2017-08-24,78.779999,79.040001,78.629997,78.93,5502800,74.402954,XLV
2017-08-25,79.099998,79.400002,78.889999,78.949997,5476500,74.421799,XLV
2017-08-28,79.169998,79.5,79.150002,79.370003,7432800,74.817719,XLV
2017-08-29,79.040001,79.599998,78.970001,79.519997,4243500,74.959106,XLV
2017-08-30,79.43,80.129997,79.410004,79.93,3667900,75.345589,XLV
2017-08-31,80.129997,81.370003,80.129997,81.290001,6987200,76.627594,XLV
2017-09-01,81.410004,81.580002,80.919998,81.230003,6471600,76.571037,XLV
2017-09-05,80.889999,81.370003,80.510002,80.879997,8076900,76.241104000000007,XLV
2017-09-06,81.160004,81.349998,80.800003,81.269997,8791000,76.608734,XLV
2017-09-07,81.260002,82.349998,81.239998,82.169998,7251000,77.4571,XLV
2017-09-08,82.050003,82.68,81.910004,82.540001,4302600,77.805901,XLV
2017-09-11,82.910004,83.199997,82.730003,83.18,6286200,78.409187,XLV
2017-09-12,83.199997,83.370003,83.040001,83.360001,6984800,78.578873,XLV
2017-09-13,83.260002,83.410004,82.889999,83.050003,5873800,78.286644,XLV
2017-09-14,82.82,83.290001,82.720001,83.160004,6373800,78.39035,XLV
2017-09-15,83.059998,83.059998,82.5,82.589996,7091300,78.139626,XLV
2017-09-18,82.68,82.900002,82.440002,82.57,7783100,78.120697,XLV
2017-09-19,82.610001,82.709999,81.830002,81.919998,7329200,77.505722,XLV
2017-09-20,81.949997,82.089996,81.410004,82,5101800,77.581398,XLV
2017-09-21,81.949997,82.040001,81.540001,81.580002,4527900,77.184044,XLV
2017-09-22,81.470001,81.690002,81.160004,81.580002,6473300,77.184044,XLV
2017-09-25,81.470001,81.839996,81.220001,81.339996,12439300,76.95697,XLV
2017-09-26,81.57,81.800003,81.18,81.209999,4579400,76.833984,XLV
2017-09-27,81.419998,81.419998,80.830002,81.18,5384700,76.805595,XLV
2017-09-28,81.110001,81.519997,80.989998,81.25,4229000,76.871834,XLV
2017-09-29,81.260002,81.769997,81.059998,81.730003,6902700,77.325958,XLV
2017-10-02,81.970001,82.57,81.879997,82.559998,8764900,78.111221,XLV
2017-10-03,82.68,82.800003,82.220001,82.540001,5141700,78.092316,XLV
2017-10-04,82.660004,82.970001,82.580002,82.940002,3291100,78.470764,XLV
2017-10-05,82.940002,83.010002,82.620003,83,7709600,78.527534,XLV
2017-10-06,82.849998,83.209999,82.760002,82.889999,4035900,78.423462,XLV
2017-10-09,82.879997,82.900002,82.239998,82.370003,4558800,77.931473,XLV
2017-10-10,82.400002,82.559998,82.110001,82.559998,4037700,78.111221,XLV
2017-10-11,82.510002,82.809998,82.489998,82.720001,4031600,78.262627,XLV
2017-10-12,82.690002,82.82,82.529999,82.629997,4731600,78.177444,XLV
2017-10-13,82.360001,82.529999,82.220001,82.419998,5909600,77.978775,XLV
2017-10-16,82.360001,82.68,81.910004,82.059998,10219700,77.638168,XLV
2017-10-17,82.230003,83.379997,82.230003,83.160004,8437800,78.678902,XLV
2017-10-18,83.370003,83.730003,83.18,83.279999,6938700,78.792442,XLV
2017-10-19,83.18,83.809998,83.059998,83.790001,6410400,79.274948,XLV
2017-10-20,83.82,83.949997,83.589996,83.879997,6343800,79.3601,XLV
2017-10-23,83.989998,84.309998,83.629997,83.669998,7159600,79.161423,XLV
